PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"800 Florida Ave NE, Washington, DC 20002",,,,,,,,,
Location:,"Lat, Lon: 38.89, -76.98",,,,,,,,,
Lat (deg N):,38.89,,,,,,,,,
Long (deg W):,76.98,,,,,,,,,
Elev (m):,22.44000053,,,,,,,,,
DC System Size (kW):,34,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.11,,,,,,,,,
Capacity Factor (%),"15.6	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,12,17,0,0,-3,1,0,-3,0,0
1,12,18,0,0,-3,1,0,-3,0,0
1,12,19,0,0,-4,1,0,-4,0,0
1,12,20,0,0,-4,1,0,-4,0,0
1,12,21,0,0,-4,1,0,-4,0,0
1,12,22,0,0,-5,1,0,-5,0,0
1,12,23,0,0,-5,1,0,-5,0,0
1,13,0,0,0,-5,1,0,-5,0,0
1,13,1,0,0,-5,1,0,-5,0,0
1,13,2,0,0,-5,1,0,-5,0,0
1,13,3,0,0,-5,1,0,-5,0,0
1,13,4,0,0,-5,1,0,-5,0,0
1,13,5,0,0,-5,1,0,-5,0,0
1,13,6,0,0,-6,1,0,-6,0,0
1,13,7,0,0,-5,2,0,-5,0,0
1,13,8,619,40,-3,3,283.718,2.2,8282.963,7923.018
1,13,9,802,56,-1,3,511.314,10.601,15383.804,14804.262
1,13,10,877,65,1,4,672.744,15.402,20243.514,19481.902
1,13,11,904,71,2,4,766.566,18.803,22870.908,22000.104
1,13,12,899,74,3,4,781.701,20.327,23186.918,22302.471
1,13,13,872,73,4,3,727.575,21.972,21353.979,20547.135
1,13,14,513,112,3,3,459.548,14.464,13854.109,13326.534
1,13,15,140,99,2,3,177.832,5.837,5525.332,5235.803
1,13,16,58,34,1,3,56.88,0.997,1743.326,1536.847
1,13,17,0,0,0,3,0,0,0,0
1,13,18,0,0,0,2,0,0,0,0
1,13,19,0,0,0,2,0,0,0,0
1,13,20,0,0,0,2,0,0,0,0
1,13,21,0,0,0,3,0,0,0,0
1,13,22,0,0,-1,3,0,-1,0,0
1,13,23,0,0,-2,3,0,-2,0,0
1,14,0,0,0,-2,2,0,-2,0,0
1,14,1,0,0,-3,2,0,-3,0,0
1,14,2,0,0,-4,2,0,-4,0,0
1,14,3,0,0,-4,1,0,-4,0,0
1,14,4,0,0,-5,1,0,-5,0,0
1,14,5,0,0,-5,1,0,-5,0,0
1,14,6,0,0,-5,1,0,-5,0,0
1,14,7,0,0,-4,1,0,-4,0,0
1,14,8,263,57,-3,2,173.019,-0.299,5272.08,4988.602
1,14,9,531,85,-2,2,400.464,7.774,12269.116,11792.687
1,14,10,814,84,0,2,658.267,17.541,19634.133,18896.768
1,14,11,848,91,0,2,755.259,20.983,22319.494,21472.232
1,14,12,323,205,0,2,487.358,14.191,14905.784,14342.756
1,14,13,76,199,0,2,268.202,7.223,8470.967,8105.918
1,14,14,184,159,0,2,293.002,7.102,9193.504,8808.482
1,14,15,0,88,0,1,87.981,2.011,2847.874,2618.757
1,14,16,177,41,-1,1,108.975,0.493,3228.531,2991.303
1,14,17,0,0,-1,0,0,-1,0,0
1,14,18,0,0,-1,0,0,-1,0,0
1,14,19,0,0,-2,0,0,-2,0,0
1,14,20,0,0,-2,1,0,-2,0,0
1,14,21,0,0,-2,1,0,-2,0,0
1,14,22,0,0,-2,1,0,-2,0,0
1,14,23,0,0,-3,1,0,-3,0,0
1,15,0,0,0,-3,1,0,-3,0,0
1,15,1,0,0,-3,1,0,-3,0,0
1,15,2,0,0,-4,1,0,-4,0,0
1,15,3,0,0,-4,1,0,-4,0,0
1,15,4,0,0,-4,2,0,-4,0,0
1,15,5,0,0,-5,2,0,-5,0,0
1,15,6,0,0,-5,2,0,-5,0,0
1,15,7,0,0,-5,2,0,-5,0,0
1,15,8,575,48,-3,3,279.156,2.085,8204.607,7846.778
1,15,9,752,72,-2,4,506.211,8.224,15423.486,14842.563
1,15,10,140,183,-1,4,299.619,5.123,9521.767,9127.482
1,15,11,232,212,-1,5,411.722,6.129,13048.088,12546.864
1,15,12,466,177,-1,5,576.224,9.547,17976.756,17303.283
1,15,13,886,82,-1,5,752.467,13.271,22986.369,22110.592
1,15,14,846,71,-1,5,624.795,11.065,19064.918,18349.834
1,15,15,734,57,-1,4,426.017,8.199,12729.766,12238.755
1,15,16,474,31,-3,3,179.785,0.821,4993.667,4716.758
1,15,17,0,0,-4,3,0,-4,0,0
1,15,18,0,0,-5,2,0,-5,0,0
1,15,19,0,0,-6,2,0,-6,0,0
1,15,20,0,0,-7,2,0,-7,0,0
1,15,21,0,0,-7,2,0,-7,0,0
1,15,22,0,0,-8,2,0,-8,0,0
1,15,23,0,0,-8,2,0,-8,0,0
1,16,0,0,0,-9,1,0,-9,0,0
1,16,1,0,0,-9,1,0,-9,0,0
1,16,2,0,0,-9,1,0,-9,0,0
1,16,3,0,0,-9,1,0,-9,0,0
1,16,4,0,0,-9,2,0,-9,0,0
1,16,5,0,0,-9,2,0,-9,0,0
1,16,6,0,0,-9,2,0,-9,0,0
1,16,7,0,0,-8,2,0,-8,0,0
1,16,8,285,57,-6,2,181.064,-3.057,5567.85,5277.298
1,16,9,375,108,-5,1,339.487,4.919,10586.266,10161.132
1,16,10,407,152,-4,1,462.31,10.746,14273.439,13731.873
1,16,11,508,161,-3,1,581.592,16.075,17607.211,16947.574
1,16,12,367,200,-3,2,516.339,11.468,15982.538,15381.959
1,16,13,130,207,-3,2,326.8,6.02,10367.562,9948.867
1,16,14,396,136,-3,2,417.425,7.833,12999.166,12499.52
1,16,15,77,103,-3,2,146.817,0.577,4706.415,4436.195
1,16,16,21,37,-3,2,45.761,-3.401,1476.895,1275.677
1,16,17,0,0,-3,2,0,-3,0,0
1,16,18,0,0,-4,2,0,-4,0,0
1,16,19,0,0,-4,2,0,-4,0,0
1,16,20,0,0,-4,2,0,-4,0,0
1,16,21,0,0,-4,2,0,-4,0,0
1,16,22,0,0,-4,2,0,-4,0,0
1,16,23,0,0,-4,1,0,-4,0,0
1,17,0,0,0,-4,1,0,-4,0,0
1,17,1,0,0,-4,1,0,-4,0,0
1,17,2,0,0,-4,1,0,-4,0,0
1,17,3,0,0,-5,1,0,-5,0,0
1,17,4,0,0,-5,2,0,-5,0,0
1,17,5,0,0,-5,3,0,-5,0,0
1,17,6,0,0,-5,4,0,-5,0,0
1,17,7,0,0,-5,4,0,-5,0,0
1,17,8,420,69,-4,5,244.836,-0.668,7404.81,7068.191
1,17,9,288,120,-3,5,298.207,1.798,9454.552,9062.173
1,17,10,264,177,-1,5,385.59,5.613,12200.73,11726.445
1,17,11,826,127,-1,5,788.113,13.652,24096.422,23172.102
1,17,12,841,129,-1,5,817.824,14.897,24891.506,23931.59
1,17,13,805,130,-1,5,755.892,13.737,23069.773,22190.395
1,17,14,600,100,-1,5,510.076,8.822,15768.089,15175.09
1,17,15,610,91,-1,4,409.081,7.57,12360.654,11881.345
1,17,16,178,44,-2,4,113.533,-0.26,3391.536,3150.787
1,17,17,0,0,-3,4,0,-3,0,0
1,17,18,0,0,-3,4,0,-3,0,0
1,17,19,0,0,-4,4,0,-4,0,0
1,17,20,0,0,-6,4,0,-6,0,0
1,17,21,0,0,-7,4,0,-7,0,0
1,17,22,0,0,-8,4,0,-8,0,0
1,17,23,0,0,-8,4,0,-8,0,0
